Dataset,Sequencing Type,Experimental Strategy,Tumor Stage,Disease,Number of Biospecimens
PBTA,DNA,WGS/WXS,relapse,Neurofibroma/Plexiform,9
PBTA,Methylation Array,Methylation,primary,Neurofibroma/Plexiform,10
PBTA,Methylation Array,Methylation,relapse,Neurofibroma/Plexiform,6
PBTA,RNA,RNA-Seq,primary,Neurofibroma/Plexiform,13
PBTA,RNA,RNA-Seq,relapse,Neurofibroma/Plexiform,7
PBTA,DNA,WGS/WXS,primary,Non-germinomatous germ cell tumor,3
PBTA,Methylation Array,Methylation,relapse,Non-germinomatous germ cell tumor,1
PBTA,RNA,RNA-Seq,primary,Non-germinomatous germ cell tumor,4
PBTA,DNA,WGS/WXS,relapse,Oligodendroglioma,3
PBTA,Methylation Array,Methylation,primary,Oligodendroglioma,1
PBTA,Methylation Array,Methylation,relapse,Oligodendroglioma,1
PBTA,RNA,RNA-Seq,primary,Oligodendroglioma,36
PBTA,RNA,RNA-Seq,relapse,Oligodendroglioma,26
PBTA,Methylation Array,Methylation,primary,Perineuroma,1
PBTA,DNA,WGS/WXS,primary,Pilocytic astrocytoma,51
PBTA,DNA,WGS/WXS,relapse,Pilocytic astrocytoma,7
PBTA,Methylation Array,Methylation,primary,Pilocytic astrocytoma,1
PBTA,RNA,RNA-Seq,primary,Pilocytic astrocytoma,7
PBTA,RNA,RNA-Seq,relapse,Pilocytic astrocytoma,3
PBTA,DNA,WGS/WXS,primary,Pineoblastoma,16
PBTA,Methylation Array,Methylation,primary,Pineoblastoma,14
PBTA,Methylation Array,Methylation,relapse,Pineoblastoma,4
PBTA,RNA,RNA-Seq,primary,Pineoblastoma,10
PBTA,RNA,RNA-Seq,relapse,Pineoblastoma,4
PBTA,Methylation Array,Methylation,primary,Pleomorphic xanthoastrocytoma,3
PBTA,RNA,RNA-Seq,primary,Pleomorphic xanthoastrocytoma,3
PBTA,Methylation Array,Methylation,primary,Rhabdomyosarcoma,2
PBTA,Methylation Array,Methylation,primary,Rosai-Dorfman disease,1
PBTA,Methylation Array,Methylation,primary,Rosette-forming glioneuronal tumor,1
PBTA,Methylation Array,Methylation,relapse,Rosette-forming glioneuronal tumor,1
PBTA,DNA,WGS/WXS,primary,Sarcoma,8
PBTA,DNA,WGS/WXS,relapse,Sarcoma,7
PBTA,Methylation Array,Methylation,primary,Sarcoma,9
PBTA,Methylation Array,Methylation,relapse,Sarcoma,7
PBTA,RNA,RNA-Seq,primary,Sarcoma,7
PBTA,RNA,RNA-Seq,relapse,Sarcoma,9
PBTA,DNA,WGS/WXS,primary,Schwannoma,34
PBTA,DNA,WGS/WXS,relapse,Schwannoma,5
PBTA,Methylation Array,Methylation,primary,Schwannoma,16
PBTA,Methylation Array,Methylation,relapse,Schwannoma,2
PBTA,RNA,RNA-Seq,primary,Schwannoma,23
PBTA,RNA,RNA-Seq,relapse,Schwannoma,4
PBTA,DNA,WGS/WXS,primary,Subependymal Giant Cell Astrocytoma,12
PBTA,Methylation Array,Methylation,primary,Subependymal Giant Cell Astrocytoma,8
PBTA,Methylation Array,Methylation,relapse,Subependymal Giant Cell Astrocytoma,1
PBTA,RNA,RNA-Seq,primary,Subependymal Giant Cell Astrocytoma,13
PBTA,DNA,WGS/WXS,primary,Teratoma,9
PBTA,DNA,WGS/WXS,relapse,Teratoma,5
PBTA,Methylation Array,Methylation,primary,Teratoma,4
PBTA,Methylation Array,Methylation,relapse,Teratoma,2
PBTA,RNA,RNA-Seq,primary,Teratoma,6
PBTA,RNA,RNA-Seq,relapse,Teratoma,3
TARGET,DNA,WGS/WXS,primary,Acute Lymphoblastic Leukemia,712
TARGET,DNA,WGS/WXS,relapse,Acute Lymphoblastic Leukemia,17
TARGET,RNA,RNA-Seq,primary,Acute Lymphoblastic Leukemia,538
TARGET,RNA,RNA-Seq,relapse,Acute Lymphoblastic Leukemia,75
TARGET,DNA,WGS/WXS,primary,Acute Myeloid Leukemia,16
TARGET,DNA,WGS/WXS,relapse,Acute Myeloid Leukemia,15
TARGET,Methylation Array,Methylation,primary,Acute Myeloid Leukemia,113
TARGET,Methylation Array,Methylation,relapse,Acute Myeloid Leukemia,64
TARGET,RNA,RNA-Seq,primary,Acute Myeloid Leukemia,168
TARGET,RNA,RNA-Seq,relapse,Acute Myeloid Leukemia,42
TARGET,Methylation Array,Methylation,primary,Clear cell sarcoma of the kidney,11
TARGET,RNA,RNA-Seq,primary,Clear cell sarcoma of the kidney,13
TARGET,DNA,SNV Panel,primary,Ganglioneuroblastoma,47
TARGET,DNA,WGS/WXS,primary,Ganglioneuroblastoma,34
TARGET,Methylation Array,Methylation,primary,Ganglioneuroblastoma,17
TARGET,RNA,RNA-Seq,primary,Ganglioneuroblastoma,20
TARGET,DNA,SNV Panel,primary,Neuroblastoma,450
TARGET,DNA,WGS/WXS,primary,Neuroblastoma,186
TARGET,Methylation Array,Methylation,primary,Neuroblastoma,195
TARGET,Methylation Array,Methylation,relapse,Neuroblastoma,9
TARGET,RNA,RNA-Seq,primary,Neuroblastoma,129
TARGET,RNA,RNA-Seq,relapse,Neuroblastoma,8
TARGET,DNA,WGS/WXS,primary,Osteosarcoma,73
TARGET,Methylation Array,Methylation,primary,Osteosarcoma,86
TARGET,RNA,RNA-Seq,primary,Osteosarcoma,87
TARGET,RNA,RNA-Seq,primary,Rhabdoid tumor of the kidney,64
TARGET,DNA,WGS/WXS,primary,Wilms tumor,36
TARGET,DNA,WGS/WXS,relapse,Wilms tumor,5
TARGET,Methylation Array,Methylation,primary,Wilms tumor,125
TARGET,Methylation Array,Methylation,relapse,Wilms tumor,5
TARGET,RNA,RNA-Seq,primary,Wilms tumor,124
TARGET,RNA,RNA-Seq,relapse,Wilms tumor,5
TCGA,RNA,RNA-Seq,primary,Acute Myeloid Leukemia,147
TCGA,RNA,RNA-Seq,primary,Adrenocortical Carcinoma,77
TCGA,RNA,RNA-Seq,primary,Bladder Urothelial Carcinoma,405
TCGA,RNA,RNA-Seq,primary,Breast Invasive Carcinoma,1088
TCGA,RNA,RNA-Seq,primary,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,304
TCGA,RNA,RNA-Seq,primary,Cholangiocarcinoma,35
TCGA,RNA,RNA-Seq,primary,Chromophobe renal cell carcinoma,65
TCGA,RNA,RNA-Seq,primary,Colon Adenocarcinoma,288
TCGA,RNA,RNA-Seq,primary,Cutaneous Melanoma,102
TCGA,RNA,RNA-Seq,primary,Esophageal Carcinoma,158
TCGA,RNA,RNA-Seq,primary,Glioblastoma Multiforme,152
TCGA,RNA,RNA-Seq,relapse,Glioblastoma Multiforme,13
TCGA,RNA,RNA-Seq,primary,Head and Neck Squamous Cell Carcinoma,498
TCGA,RNA,RNA-Seq,primary,Hepatocellular Carcinoma,369
TCGA,RNA,RNA-Seq,primary,Low-grade glioma,507
TCGA,RNA,RNA-Seq,relapse,Low-grade glioma,14
TCGA,RNA,RNA-Seq,primary,Lung Adenocarcinoma,510
TCGA,RNA,RNA-Seq,primary,Lung Squamous Cell Carcinoma,498
TCGA,RNA,RNA-Seq,primary,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,47
TCGA,RNA,RNA-Seq,primary,Mesothelioma,86
TCGA,RNA,RNA-Seq,primary,Ovarian Serous Cystadenocarcinoma,373
TCGA,RNA,RNA-Seq,relapse,Ovarian Serous Cystadenocarcinoma,5
TCGA,RNA,RNA-Seq,primary,Pancreatic Adenocarcinoma,177
TCGA,RNA,RNA-Seq,primary,Pheochromocytoma and Paraganglioma,177
TCGA,RNA,RNA-Seq,primary,Prostate Adenocarcinoma,494
TCGA,RNA,RNA-Seq,primary,Rectum Adenocarcinoma,92
TCGA,RNA,RNA-Seq,primary,Renal Clear Cell Carcinoma,527
TCGA,RNA,RNA-Seq,primary,Renal Papillary Cell Carcinoma,286
TCGA,RNA,RNA-Seq,primary,Sarcoma,258
TCGA,RNA,RNA-Seq,relapse,Sarcoma,3
TCGA,RNA,RNA-Seq,primary,Stomach Adenocarcinoma,373
TCGA,RNA,RNA-Seq,primary,Testicular Germ Cell Tumor,148
TCGA,RNA,RNA-Seq,primary,Thymoma,118
TCGA,RNA,RNA-Seq,primary,Thyroid Carcinoma,501
TCGA,RNA,RNA-Seq,primary,Uterine Carcinosarcoma,56
TCGA,RNA,RNA-Seq,primary,Uterine Corpus Endometrial Carcinoma,178
TCGA,RNA,RNA-Seq,primary,Uveal Melanoma,79
